name,district,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
Aspire Ratchada - Wongsawang,Bang Sue,1950000,88148,0,-9.23,4.37,-7.23,1,1,26,27,2,2016,1,1,1,1,0,1,1,0,1,1,0,1,4100,2600,0,0
The Tree Bang Po Station,Bang Sue,2099000,92003,0,2.19,3.76,-3.68,1,1,29,32,1,2013,1,1,0,1,1,0,1,1,0,0,0,0,2300,3400,0,0
Regent Home 20 Prachachuen 16,Bang Sue,1350000,44516,0,-13.31,5.26,-2.01,1,1,31,8,3,2013,1,1,1,1,1,0,1,0,0,0,0,0,3700,2100,0,0
Richpark @ Bangson Station,Bang Sue,1700000,66394,0,3.41,4.81,5.56,1,1,29,27,1,2014,1,1,1,1,1,0,1,1,0,1,0,0,4400,2000,0,0
333 Riverside,Bang Sue,6600000,162147,-20.87,-8,4.66,21.15,1,1,51,42,3,2014,1,1,1,1,1,0,1,0,0,0,0,0,2300,3400,0,0
The Tree Interchange,Bang Sue,4300000,87522,0,3.66,4.2,-10.79,2,2,62,40,2,2015,1,1,1,1,1,0,1,1,0,0,0,1,1700,3400,0,0
The Tree Interchange,Bang Sue,3290000,87522,0,3.66,4.2,-10.79,1,1,35,40,2,2015,1,1,1,1,1,0,1,1,0,0,0,1,1700,3400,0,0
Metro sky prachachuen,Bang Sue,2600000,108388,0,4.52,3.66,2.16,1,1,26,24,3,2015,1,1,1,1,1,1,1,1,1,1,1,1,4200,1300,0,0
Chapter One Flow Bangpo,Bang Sue,5462000,105624,0,0,0,,2,1,49,41,1,,1,1,1,1,1,1,1,1,0,0,0,1,2800,4100,0,0
Rich Park 2 @Taopoon Interchange,Bang Sue,1590000,82900,0,-9.13,4.3,15.56,1,1,22,26,1,2014,1,1,1,1,1,0,1,0,1,1,1,1,2700,2400,0,0
THE LINE Wongsawang,Bang Sue,2800000,159375,53.49,54.37,3.53,16.09,1,1,28,36,1,2018,1,1,1,1,1,0,1,1,1,1,0,1,3900,2300,0,0
Rich Park 2 @Taopoon Interchange,Bang Sue,2900000,82900,0,-9.13,4.3,15.56,1,1,30,26,1,2014,1,1,1,1,1,0,1,0,1,1,1,1,2700,2400,0,0
U Delight @ Bangson Station,Bang Sue,2590000,83333,0,-8.78,4.46,1.64,1,1,30,26,1,2015,1,1,1,1,1,1,1,1,0,0,0,1,3800,2200,0,0
The Stage Taopoon Interchange,Bang Sue,3650000,98442,0,2.7,4.22,7.79,1,1,33,36,1,2017,1,1,1,1,1,0,1,1,0,0,0,1,1600,2500,0,0
