id,Name,lat,long
433,iCondo Serithai Green Space,13.7763981,100.6613918
434,Ideal 24,13.7236166,100.567095
435,Ideo Blucove Sathorn,13.7220498,100.4958744
436,Ideo Blucove Sukhumvit,13.6785478,100.6085477
437,Ideo Charan 70-Riverview,13.7892822,100.5033079
438,Ideo Chula Samyan,13.7316139,100.5255433
439,Ideo Ladprao 17,13.8068797,100.5727637
440,Ideo Ladprao 5,13.810814,100.5657315
441,Ideo Mix Phaholyothin,13.7950293,100.5504801
442,Ideo Mix Sukhumvit 103,13.6789052,100.6112738
443,Ideo Mobi Asoke,13.7479768,100.5659566
444,Ideo Mobi Bangsue Grand Interchange,13.8064426,100.5329214
445,Ideo Mobi Charan Interchange,13.7623251,100.471948
446,Ideo Mobi Rama 9,13.7558338,100.5658335
447,Ideo Mobi Rangnam,13.7595365,100.5416344
448,Ideo Mobi Sathorn,13.7202929,100.5026936
449,Ideo Mobi Sukhumvit,13.7046537,100.6020189
450,IDEO Mobi Sukhumvit 66,13.6816016,100.6099522
451,Ideo Mobi Sukhumvit East Point,13.6649125,100.6036429
452,Ideo Mobi Sukhumvit Eastgate,13.6654941,100.6041974
453,Ideo Mobi Wongsawang - Interchange,13.8188762,100.5317985
454,Ideo Morph 38,13.72082028,100.5784127
455,IDEO New Rama 9,13.7488085,100.6062993
456,IDEO O2,13.6723197,100.6034762
457,Ideo Phaholyothin Chatujak,13.7959119,100.5502144
458,Ideo Q Chula - Samyan,13.7332688,100.5263905
459,Ideo Q Phayathai,13.7556979,100.532769
460,Ideo Q Ratchathewi,13.7529587,100.5338984
461,Ideo Q Siam - Ratchathewi,13.7524146,100.5349697
462,Ideo Q Victory,13.7622403,100.5370277
463,Ideo Rama 9 - Asoke,13.754747,100.5673335
464,Ideo Ratchada - Huaykwang,13.7784252,100.5745312
465,Ideo Ratchada-Sutthisan,13.7898989,100.5700487
466,Ideo Sathorn - Taksin,13.7205143,100.5021871
467,Ideo Sathorn - Thaphra,13.7173259,100.4823377
468,Ideo Sathorn - Wongwian YaiIdeo Sathorn - Wongwian Yai,13.7220179,100.4973845
469,Ideo Sukhumvit 93,13.6985445,100.6047769
470,Ideo Sukhumvit Rama 4,13.7131216,100.5898864
471,Ideo Thaphra Interchange,13.72834212,100.4759639
472,Ideo Verve Ratchaprarop,13.7543441,100.5424742
473,Ideo Verve Sukhumvit,13.70621321,100.6016963
474,Ideo Wutthakat,13.71526799,100.4673477
475,IKON Sukhumvit 77,13.71020755,100.6081519
476,I'm Fine Bangna,13.6622815,100.6363648
477,Metro sky prachachuen,13.8222739,100.5367832
478,Inspire Place ABAC - Rama IX,13.75441268,100.6264235
479,Inter Lux Residence,13.7471051,100.5537084
480,Inter Tower,13.7455929,100.5572759
481,Intro Phaholyothin - Pradipat,13.79229302,100.5392389
482,IRIS Avenue Onnuch - Suvarnabhumi,13.7217525,100.7184573
483,Issara Collection SathornIssara Collection Sathorn,13.7092685,100.5390683
484,ISSI Condo Suksawat,13.68192461,100.4936334
485,ITF Silom Palace,13.72749536,100.5281555
486,IVORY Ratchada-Ladprao,13.8157198,100.5781808
487,Ivy Ampio,13.7630949,100.568323
488,Ivy Ratchada,13.791059,100.5758913
489,Ivy Residence Pinklao,13.7702346,100.4848219
490,Ivy River,13.6882561,100.4927561
491,Ivy Sathorn 10,13.7238029,100.5267045
492,Ivy Thonglor,13.7371565,100.5835084
493,J Condo Sathorn - Kallaprapruk,13.6863561,100.4203574
494,J.C. Tower,13.7439198,100.5814752
495,J.W. Boulevard Srivara,13.7709427,100.6082621
496,Jaran Garden Condominium,13.7961176,100.5772431
497,JRY RAMA9 CONDOMINIUM,13.7616953,100.5916121
498,Juldis River Mansion,13.7659609,100.4964488
499,JW CONDO @DONMUANG,13.9241556,100.5980452
500,JW Station @Ramintra,13.81213,100.7111951
501,Kacha Puri Condominium,13.7959641,100.4507843
502,Kallista Mansion,13.74789196,100.5568937
503,KALM Penthouse,13.75034012,100.5873031
504,KAWA HAUS,13.7148054,100.6051494
505,Kensington Kaset Campus,13.85647829,100.5769729
506,Kensington Phahol - Kaset,13.8458932,100.5807744
507,Kensington Place Chaengwattana,13.89075421,100.5619765
508,Kes Ratchada Condominium,13.76653425,100.5627671
509,KEYNE BY SANSIRI,13.72481749,100.5769664
510,KHUN by YOO inspired by Starck,13.73279631,100.5827273
511,Kiarti Thanee City Mansion,13.74472081,100.5678789
512,Kirasup Mansion Ville,13.834172,100.6619946
513,Klass Condo Langsuan,13.7419427,100.5442615
514,Klass Condo Siam,13.7482069,100.5286121
515,Klass Condo Silom,13.72568333,100.5316922
516,Klass Sarasin - Rajdamri,13.73499107,100.5408853
517,KNIGHTSBRIDGE COLLAGE RAMKHAMHAENG,13.76160948,100.6401859
518,Knightsbridge Kaset Society,13.83713641,100.5746527
519,Knightsbridge Phaholyothin - Interchange,13.87917787,100.5979953
520,Knightsbridge Prime Onnut,13.70990689,100.6023383
521,KnightsBridge Prime Ratchayothin,13.82503558,100.5661215
522,Knightsbridge Prime Sathorn,13.71698136,100.5335813
523,Knightsbridge Skycity Saphanmai,13.8873344,100.6045608
