name,lat,lng
โรงเรียนวัดศรีสุก (แย้มเยื้อนอุปถัมภ์),13.91862555,100.7917457
โรงเรียนวัดสุขใจ,13.87188467,100.773791
โรงเรียนวัดสุทธิสะอาด,13.87746144,100.7321748
โรงเรียนสุเหร่าเกาะขุนเณร,13.85534667,100.7859498
โรงเรียนสุเหร่าคลองสี่,13.91266451,100.7701413
โรงเรียนสุเหร่าคลองหนึ่ง (มานะราษฎร์บำรุง),13.84240881,100.710538
โรงเรียนสุเหร่าสามวา,13.90650368,100.7280882
โรงเรียนสุเหร่าแสนแสบ,13.82564275,100.7514641
โรงเรียนวัดธาตุทอง (เรือนเขียวสะอาด),13.71966032,100.5866516
โรงเรียนสุเหร่าบ้านดอน,13.74314893,100.5802351
โรงเรียนวิจิตรวิทยา,13.74019675,100.5937246
โรงเรียนสุเหร่าบางมะเขือ (ปรีดี พนมยงค์ อนุสรณ์),13.71539995,100.5969318
โรงเรียนสุเหร่าสามอิน,13.72791473,100.5962028
โรงเรียนวัดภาษี,13.74171136,100.5887324
โรงเรียนแจ่มจันทร์,13.73916888,100.5877167
โรงเรียนสวัสดีวิทยา,13.73980307,100.5662781
โรงเรียนบางแค (เนื่องสังวาลย์อนุสรณ์),13.70728044,100.4004812
โรงเรียนวัดบุณยประดิษฐ์,13.73039836,100.3887175
โรงเรียนคลองหนองใหญ่,13.68979093,100.4175091
โรงเรียนเพชรเกษม (จตุรงค์สงครามอนุสรณ์),13.7044497,100.3846539
โรงเรียนวัดศาลาแดง,13.74932773,100.3545939
โรงเรียนบางไผ่ (บ้านนายพันแก้วขาว),13.74070986,100.4036109
โรงเรียนบางเชือกหนัง (พูนบำเพ็ญอนุสรณ์),13.75137412,100.3897196
โรงเรียนวัดพรหมสุวรรณสามัคคี,13.72966602,100.3676856
โรงเรียนบางแคเหนือ,13.71151992,100.4132197
โรงเรียนวัดม่วง,13.69360006,100.3930315
โรงเรียนวัดราษฎร์บำรุง (งามศิริวิทยาคาร),13.70145895,100.3795419
โรงเรียนหมู่บ้านเศรษฐกิจ (พุ่มประดับราษฎรสามัคคี),13.7153353,100.3746484
โรงเรียนวัดบางนาใน,13.67117006,100.6041855
โรงเรียนวัดบางนานอก,13.67624608,100.5879596
โรงเรียนผ่องพลอยอนุสรณ์,13.6614296,100.6299641
โรงเรียนรุ่งเรืองอุปถัมภ์,13.67703366,100.6115742
โรงเรียนอำนวยกนกศิริอนุสรณ์,13.67526685,100.6191514
โรงเรียนศรีเอี่ยมอนุสรณ์,13.66774694,100.6437896
โรงเรียนเพี้ยนพินอนุสรณ์,13.6644675,100.5979007
โรงเรียนบ้านนายเหรียญ,13.66887852,100.3780394
โรงเรียนบ้านนายผล (แม้นสุวรรณอุปถัมภ์),13.64326109,100.35639
โรงเรียนวัดอาวุธวิกสิตาราม,13.79035421,100.5062942
โรงเรียนวัดพระยาศิริไอยสวรรค์,13.76901957,100.4932194
โรงเรียนวัดเปาโรหิตย์,13.78017171,100.4951215
โรงเรียนวัดเทพากร (เลี่ยมมาตุทิศ),13.78648972,100.5026254
โรงเรียนวัดฉัตรแก้วจงกลณี,13.80188014,100.5135271
โรงเรียนวัดวิมุตยาราม,13.81086735,100.5146488
โรงเรียนวัดบางพลัด (ป.สุวณ.โณ),13.79259867,100.4984562
โรงเรียนวัดคฤหบดี,13.77235201,100.4967087
โรงเรียนวัดรวก,13.78131215,100.4844281
โรงเรียนวัดสามัคคีสุทธาวาส,13.79739327,100.5022882
โรงเรียนวัดไก่เตี้ย (สวัสดิ์ประชานุกูล),13.78494222,100.4654633
โรงเรียนวัดชัยพฤกษมาลา,13.79423343,100.4672139
โรงเรียนชุมทางตลิ่งชัน,13.79571884,100.4376532
โรงเรียนฉิมพลี,13.79112508,100.4129852
โรงเรียนวัดทอง (อุดมศิลปวิทยาคาร),13.77434986,100.4421745
โรงเรียนวัดมะกอก (วิสุทธิวิทยาคาร),13.77553499,100.4280592
โรงเรียนวัดโพธิ์ (ราษฎร์ผดุงผล),13.76938676,100.4267178
โรงเรียนวัดอินทราวาส,13.75921538,100.4332499
โรงเรียนวัดปากน้ำฝั่งเหนือ,13.74402202,100.4590684
โรงเรียนวัดเกาะ,13.74261969,100.4562116
โรงเรียนวัดพิกุล,13.74140014,100.4329196
โรงเรียนวัดกระโจมทอง,13.74770538,100.4429822
โรงเรียนวัดประสาท,13.75822561,100.4494646
โรงเรียนวัดรัชฎาธิฐาน,13.759051,100.4535943
โรงเรียนวัดตลิ่งชัน (ปิ่นทองสัณฐาคาร),13.77902726,100.456853
โรงเรียนวัดช่างเหล็ก,13.77413881,100.4534655
โรงเรียนวัดราชสิทธาราม,13.73579488,100.4850196
โรงเรียนวัดท่าพระ,13.73347258,100.4728085
โรงเรียนวัดประดู่ฉิมพลี,13.72411154,100.4691163
โรงเรียนวัดใหม่พิเรนทร์,13.74117183,100.4822701
โรงเรียนวัดดีดวด,13.74123452,100.4748266
โรงเรียนวัดนาคกลาง,13.74592511,100.48402
โรงเรียนบ้านนายสี,13.66379802,100.3990407
โรงเรียน วัดบางบอน (พิมพ์ จันแต้อุปถัมภ์),13.64203713,100.3800095
โรงเรียนพรหมราษฎร์รังสรรค์,13.64221957,100.3958909
โรงเรียนสถานีพรมแดน,13.62421673,100.3804976
โรงเรียนวัดนินสุขาราม,13.6742525,100.4046492
โรงเรียนพระยามนธาตุราชศรีพิจิตร์,13.66846585,100.4254426
โรงเรียนคลองต้นไทร (สุขล้อมอุทิศ),13.78350762,100.3838328
โรงเรียนคลองทวีวัฒนา (ทองน่วมอนุสรณ์),13.7555633,100.3516611
โรงเรียนคลองบางพรหม,13.76863174,100.368624
โรงเรียนคลองมหาสวัสดิ์,13.80268454,100.3523576
โรงเรียนวัดปุรณาวาส,13.80152172,100.3352201
โรงเรียนตั้งพิรุฬธรรม,13.77942393,100.3442787
โรงเรียนนาหลวง,13.64768985,100.4950504
โรงเรียนสามัคคีบำรุง,13.64571094,100.5113522
โรงเรียนบางมด (ตันเปาว์วิทยาคาร),13.65450077,100.4716699
โรงเรียนราษฎร์บูรณะ,13.63477771,100.5031583
โรงเรียนรางราชพฤกษ์ (นุชมีอุทิศ),13.63226188,100.482568
โรงเรียนวัดทุ่งครุ (พึ่งสายอนุสรณ์),13.6192304,100.5120064
โรงเรียนคลองรางจาก,13.6357197,100.5147547
โรงเรียนชูสินทองประดิษฐ์อนุสรณ์,13.65714777,100.5095486
โรงเรียนกิ่งเพชร,13.75153354,100.5263064
โรงเรียนวัดพระยายัง,13.75232872,100.5219654
โรงเรียนวัดดิสหงสาราม,13.74871696,100.5517825
โรงเรียนวัดทัศนารุณสุนทริการาม,13.76103507,100.5435223
โรงเรียนวัดประดู่ธรรมาธิปัตย์,13.80126576,100.5237158
โรงเรียนวัดบางโพโอมาวาส,13.80885645,100.5197138
โรงเรียนวัดสร้อยทอง,13.81345189,100.5176902
โรงเรียนวัดทองสุทธาราม,13.83286533,100.5298046
โรงเรียนวัดมัชฌันติการาม,13.82206886,100.5172835
โรงเรียนวัดเลียบราษฎร์บำรุง,13.82872411,100.5212857
โรงเรียนวัดประชาศรัทธาธรรม,13.81850488,100.5191474
โรงเรียนวัดดอน,13.71378875,100.5169366
โรงเรียนวัดยานนาวา,13.71770991,100.5128289
โรงเรียนวัดไผ่เงินโชตนาราม,13.70127428,100.5234667
โรงเรียนวัดราชสิงขร,13.70593924,100.5041644
โรงเรียนวัดลาดบัวขาว,13.7007931,100.4971606
โรงเรียนวัดไทร,13.69023353,100.5181815
โรงเรียนวัดจันทร์นอก,13.69012701,100.5015584
โรงเรียนวัดบางโคล่นอก,13.68729719,100.5120334
โรงเรียนวัดจันทร์ใน,13.69530153,100.5038841
โรงเรียนวัดสะพาน,13.70411035,100.5884794
โรงเรียนวัดคลองเตย,13.71011723,100.5607464
โรงเรียนศูนย์รวมน้ำใจ,13.7130348,100.5696415
โรงเรียนชุมชนหมู่บ้านพัฒนา,13.71104157,100.57463
โรงเรียนวัดตะกล่ำ,13.67665343,100.6649735
โรงเรียนแก่นทองอุปถัมภ์,13.69623226,100.6513738
โรงเรียนวัดกระทุ่มเสือปลา,13.72268009,100.6887813
โรงเรียนคลองมะขามเทศ,13.69739443,100.6761389
โรงเรียนสุเหร่าจรเข้ขบ (กุลางกรูอุปถัมภ์),13.70710812,100.6924973
โรงเรียนสุเหร่าทางควาย,13.72451941,100.6735207
โรงเรียนสุเหร่าทับช้าง,13.73354394,100.6888775
โรงเรียนสุเหร่าบึงหนองบอน,13.71364871,100.6515879
โรงเรียนสุเหร่าศาลาลอย,13.71050405,100.6676155
โรงเรียนสุเหร่าบ้านม้า,13.7357085,100.6709835
โรงเรียนคลองปักหลัก,13.68100945,100.6983561
โรงเรียนงามมานะ (แผน - ทับอุทิศ),13.71960982,100.661698
โรงเรียนคชเผือกอนุสรณ์,13.69252293,100.6800795
โรงเรียนสุวิทย์เสรีอนุสรณ์,13.70928594,100.6619304
โรงเรียนวัดดอนเมือง (ทหารอากาศอุทิศ),13.92148894,100.6010943
โรงเรียนประชาอุทิศ (จันทาบอนุสรณ์),13.92298406,100.5839295
โรงเรียนวัดเวฬุวนาราม (สินทรัพย์อนุสรณ์),13.91459361,100.5660871
โรงเรียนอยู่เป็นสุขอนุสรณ์,13.69122993,100.6383505
โรงเรียนเปรมประชา (สายหยุด-เกษมสงเคราะห์),13.94770526,100.6060504
โรงเรียนบำรุงรวิวรรณวิทยา (ทุ่งสีกัน),13.93833004,100.5828773
โรงเรียนวัดเสมียนนารี,13.84042716,100.5562833
