name,district,lat,long,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,950000.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,28.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,999000.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,28.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,1080000.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,28.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
La Salle Park,Bang Na,13.66038584,100.6068415,1590000.0,35857.0,0.0,4.5,6.4,-4.5,1.0,1.0,33.2,8.0,4.0,2006.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2600.0,3600.0,0.0,0.0
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,13.6612197,100.6058711,4490000.0,77326.0,0.0,-28.3,4.6,-30.4,1.0,1.0,47.0,8.0,2.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,340.0,2300.0,1.0,0.0
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,13.6612197,100.6058711,3700000.0,77326.0,0.0,-28.3,4.6,-30.4,1.0,1.0,45.0,8.0,2.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,340.0,2300.0,1.0,0.0
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,13.6612197,100.6058711,4400000.0,77326.0,0.0,-28.3,4.6,-30.4,2.0,2.0,58.0,8.0,2.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,340.0,2300.0,1.0,0.0
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,13.6612197,100.6058711,4650000.0,77326.0,0.0,-28.3,4.6,-30.4,2.0,2.0,57.0,8.0,2.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,340.0,2300.0,1.0,0.0
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,13.6612197,100.6058711,2781000.0,77326.0,0.0,-28.3,4.6,-30.4,1.0,1.0,33.0,8.0,2.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,340.0,2300.0,1.0,0.0
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,13.6612197,100.6058711,3500000.0,77326.0,0.0,-28.3,4.6,-30.4,1.0,1.0,45.0,8.0,2.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,340.0,2300.0,1.0,0.0
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,13.6612197,100.6058711,2690000.0,77326.0,0.0,-28.3,4.6,-30.4,1.0,1.0,33.0,8.0,2.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,340.0,2300.0,1.0,0.0
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,13.6612197,100.6058711,3000000.0,77326.0,0.0,-28.3,4.6,-30.4,1.0,1.0,41.0,8.0,2.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,340.0,2300.0,1.0,0.0
