"name","district","sale_price","asking_price","asking_price_change_quater","asking_price_change_year","gross_rental_yield","rental_price_change_year","bedrooms","bathrooms","internal_area","floors","towers","year_built","has_elevator","has_parking","has_security","has_cctv","has_pool","has_sauna","has_gym","has_garden_bbq","has_playground","has_shop_on_premise","has_restaurant_on_premise","has_wifi","city_train_distance","express_way_distance","close_city_train","close_express_way"
"Urbana Sukhumvit 15","Bang Kapi",1.08E7,107143.0,0.0,8.65,3.96,7.6,2.0,2.0,110.07,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Chewathai Ramkamhaeng","Bang Kapi",3160000.0,78334.0,0.0,6.75,5.09,3.11,1.0,1.0,35.75,36.0,1.0,2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7700.0,4100.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.02E7,107143.0,0.0,8.65,3.96,7.6,2.0,2.0,116.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.09E7,107143.0,0.0,8.65,3.96,7.6,2.0,2.0,119.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Four Wings Residence","Bang Kapi",4500000.0,67516.0,0.0,-0.54,5.76,7.28,1.0,1.0,70.0,26.0,1.0,2008.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9500.0,4800.0,0.0,0.0
"Chewathai Ramkamhaeng","Bang Kapi",1900000.0,78334.0,0.0,6.75,5.09,3.11,1.0,1.0,30.0,36.0,1.0,2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7700.0,4100.0,0.0,0.0
"Bangkok Horizon Ramkhamhaeng","Bang Kapi",1690000.0,49540.0,0.0,-16.68,8.96,56.12,1.0,1.0,31.0,38.0,1.0,2010.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9400.0,5800.0,0.0,0.0
"Lumpini Ville Ramkhamhaeng 60/2","Bang Kapi",1215000.0,73281.0,14.03,13.42,4.86,3.85,1.0,1.0,22.84,25.0,3.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,9500.0,5900.0,0.0,0.0
"IDEO New Rama 9","Bang Kapi",3490000.0,98798.0,-18.09,-19.2,3.91,-29.07,1.0,1.0,26.0,24.0,1.0,2020.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4800.0,1100.0,0.0,0.0
"Lumpini Ville Ramkhamhaeng 60/2","Bang Kapi",1215000.0,73281.0,14.03,13.42,4.86,3.85,1.0,1.0,22.84,25.0,3.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,9500.0,5900.0,0.0,0.0
"D Condo Ramkhamhaeng","Bang Kapi",1630000.0,65121.0,0.0,-15.59,4.92,-1.48,1.0,1.0,30.0,8.0,5.0,2012.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4900.0,1200.0,0.0,0.0
"Chewathai Ramkamhaeng","Bang Kapi",2100000.0,78334.0,0.0,6.75,5.09,3.11,1.0,1.0,30.01,36.0,1.0,2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7700.0,4100.0,0.0,0.0
"D Condo Ramkhamhaeng","Bang Kapi",1910000.0,65121.0,0.0,-15.59,4.92,-1.48,1.0,1.0,30.0,8.0,5.0,2012.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4900.0,1200.0,0.0,0.0
"Four Wings Residence","Bang Kapi",4635000.0,67516.0,0.0,-0.54,5.76,7.28,1.0,1.0,70.03,26.0,1.0,2008.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9500.0,4800.0,0.0,0.0
"Aspire Ladprao 113","Bang Kapi",2575000.0,87000.0,0.0,0.46,4.14,-15.49,1.0,1.0,28.72,8.0,1.0,2016.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8500.0,4700.0,0.0,0.0
"D Condo Ramkhamhaeng","Bang Kapi",1650000.0,65121.0,0.0,-15.59,4.92,-1.48,1.0,1.0,30.0,8.0,5.0,2012.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4900.0,1200.0,0.0,0.0
